location,total_sqft,bath,balcony,bhk,price
Old Madras Road,2760.0,5.0,2.0,3,157.0
Marathahalli,1325.0,1.0,1.0,2,92.0
Marathahalli,1525.0,3.0,2.0,3,90.0
Raja Rajeshwari Nagar 5th Stage,1320.0,2.0,2.0,3,73.0
Electronics City Phase 1,650.0,1.0,1.0,1,23.0
Old Airport Road,1858.0,2.0,1.0,3,167.0
Electronic City,1150.0,2.0,1.0,2,38.0
Electronic City Phase II,769.0,2.0,1.0,2,40.0
Electronic City,1571.0,3.0,2.0,3,105.0
Hennur Road,1445.0,3.0,1.0,3,86.56
Hosur Road,1590.0,2.0,2.0,3,135.0
Bommasandra,902.0,2.0,2.0,2,49.0
Sarjapur,2238.0,3.0,1.0,3,140.0
Electronic City,1090.0,2.0,1.0,2,31.49
Yelahanka,1712.0,3.0,3.0,3,82.0
Haralur Road,1088.0,2.0,1.0,2,68.0
Somasundara Palya,1575.0,3.0,3.0,3,63.1
Nanjappa Garden,2150.0,6.0,3.0,6,205.0
Kundalahalli,1920.0,3.0,2.0,3,150.0
Margondanahalli,1000.0,2.0,0.0,2,57.0
Chennammana Kere,1100.0,2.0,2.0,2,56.1
Electronic City,1089.0,2.0,2.0,2,45.0
Horamavu Agara,1106.0,2.0,1.0,2,43.09
Kengeri,927.0,2.0,2.0,2,37.0
Kanakpura Road,1339.0,2.0,2.0,2,58.0
Thanisandra,923.0,1.0,1.0,1,45.69
Sarjapur  Road,2900.0,3.0,2.0,3,285.0
Lakshminarayana Pura,1175.0,2.0,2.0,2,75.0
Thubarahalli,975.0,2.0,1.0,2,55.0
Hebbal,2400.0,4.0,1.0,3,180.0
Subramanyapura,1330.0,3.0,2.0,3,72.0
Thanisandra,1183.0,2.0,1.0,2,59.74
Harlur,1758.0,3.0,2.0,3,133.0
Nagarbhavi,1200.0,3.0,2.0,3,265.0
Hebbal,1255.0,2.0,1.0,3,77.68
Nagadevanahalli,600.0,4.0,2.0,3,110.0
Pai Layout,1100.0,2.0,2.0,2,50.0
Ramamurthy Nagar,1170.0,2.0,2.0,2,46.8
Vayunandana Layout,2400.0,5.0,2.0,5,120.0
Raja Rajeshwari Nagar,1530.0,3.0,3.0,3,51.77
Hebbal,1420.0,2.0,2.0,2,107.0
Geetanjali Layout,1200.0,4.0,2.0,4,300.0
7th Phase JP Nagar,1045.0,6.0,3.0,6,160.0
Kanakpura Road,1591.0,3.0,1.0,3,115.0
7th Phase JP Nagar,1680.0,3.0,2.0,3,120.0
Kenchenhalli,675.0,3.0,1.0,2,52.0
Hoodi,1055.0,2.0,1.0,2,57.63
Iblur Village,1918.0,3.0,2.0,3,129.0
Sarjapur  Road,1280.0,2.0,1.0,2,76.0
Nagarbhavi,1560.0,3.0,3.0,3,66.0
Sarjapur  Road,1145.0,2.0,2.0,2,49.5
Talaghattapura,2106.0,3.0,2.0,3,126.0
"EPIP AREA, WHITEFIELD",1801.0,3.0,2.0,3,139.0
Seegehalli,1200.0,5.0,3.0,5,120.0
Rajaji Nagar,1718.0,3.0,2.0,2,288.0
Whitefield,1306.0,3.0,2.0,3,54.65
Hebbal,1320.0,2.0,1.0,2,92.0
1st Stage Domlur,1350.0,2.0,2.0,3,65.0
Kalyan nagar,3800.0,5.0,3.0,4,300.0
Bannerghatta Road,1344.0,2.0,1.0,3,42.0
Bannerghatta Road,1893.0,3.0,2.0,3,100.0
Chandapura,1107.0,2.0,1.0,3,43.0
Lakshminarayana Pura,1190.0,2.0,1.0,2,75.0
Whitefield,1000.0,2.0,1.0,2,35.0
Kalhalli,2400.0,2.0,1.0,2,160.0
Kumaraswami Layout,1000.0,2.0,1.0,2,48.5
Jalahalli,2113.0,3.0,2.0,3,155.0
KR Puram,1100.0,2.0,1.0,2,46.0
Sector 2 HSR Layout,1200.0,4.0,1.0,5,160.0
Harlur,1884.0,4.0,2.0,4,120.0
Electronic City,1110.0,2.0,1.0,2,40.0
Kudlu,1027.0,2.0,2.0,2,43.0
Tavarekere,1250.0,3.0,2.0,3,40.0
Sarjapur  Road,1470.0,3.0,0.0,3,62.0
Kamakshipalya,1150.0,2.0,1.0,2,75.0
Hadosiddapura,1200.0,3.0,2.0,3,165.0
Kudlu Gate,703.0,1.0,1.0,1,52.0
Vijaya Bank Colony,1400.0,2.0,2.0,3,62.0
Bellandur,1195.0,2.0,2.0,2,51.0
Narayanapura,1302.0,2.0,1.0,2,69.1
Begur Road,1583.0,3.0,1.0,3,74.4
Kumarapalli,1488.0,2.0,3.0,3,60.0
Lakshmi Layout,600.0,5.0,2.0,4,85.0
Kammasandra,1385.0,2.0,2.0,3,34.63
Whitefield,3262.0,4.0,2.0,4,260.0
Electronic City,1600.0,3.0,2.0,3,104.0
Old Airport Road,1150.0,2.0,1.0,2,90.0
Sarjapur  Road,1263.0,2.0,1.0,2,78.0
KR Puram,1200.0,8.0,2.0,7,110.0
Kanakpura Road,1299.0,2.0,2.0,2,85.0
Banashankari,1330.0,2.0,1.0,2,78.0
Devanahalli,1282.0,2.0,2.0,3,52.43
"JP Nagar 8th Phase, ",1853.0,3.0,2.0,3,82.0
Kachanayakanahalli,861.0,2.0,1.0,2,35.0
Bannerghatta Road,1600.0,3.0,2.0,3,95.0
Nagaraja Garden,1256.0,2.0,1.0,2,62.8
Tejaswini Nagar,1390.0,2.0,2.0,3,80.0
1 Annasandrapalya,1200.0,6.0,3.0,11,150.0
Hebbal,919.0,2.0,1.0,2,49.0
Margondanahalli,1625.0,3.0,0.0,3,80.0
Gunjur,1195.0,2.0,2.0,2,44.0
Domlur,2400.0,4.0,1.0,6,600.0
Yelenahalli,1159.0,2.0,1.0,2,60.0
Whitefield,1386.0,3.0,1.0,3,57.46
Harlur,1197.0,2.0,1.0,2,79.0
Old Airport Road,2690.0,4.0,3.0,4,191.0
Bommasandra,1295.0,2.0,1.0,3,50.28
Huskur,1310.0,2.0,1.0,3,37.83
Whitefield,1132.0,2.0,1.0,2,79.28
6th block Koramangala,2350.0,3.0,2.0,3,400.0
Hebbal,1645.0,3.0,2.0,3,135.0
Whitefield,1200.0,2.0,1.0,2,45.84
Whitefield,3000.0,4.0,0.0,4,330.0
Marathahalli,1937.0,3.0,2.0,3,140.0
Doddathoguru,1015.0,2.0,2.0,2,33.5
Nagadevanahalli,1080.0,2.0,2.0,2,39.0
Kathriguppe,1350.0,2.0,2.0,3,80.99
Kengeri Satellite Town,1149.0,2.0,2.0,3,29.0
Kothanur,1185.0,2.0,2.0,2,59.0
Domlur,1720.0,3.0,1.0,3,135.0
Hebbal,2080.0,3.0,3.0,3,175.0
Tindlu,1500.0,3.0,1.0,3,87.0
Yelahanka,1566.0,3.0,2.0,3,97.0
KSRTC Layout,1500.0,4.0,0.0,4,110.0
KR Puram,1290.0,2.0,1.0,2,49.02
"JP nagar 9th Phase, ",1531.0,3.0,2.0,3,72.0
Keshava Nagar,1839.0,3.0,3.0,3,165.0
Dollars Layout,4200.0,4.0,1.0,4,760.0
Electronic City Phase II,1400.0,2.0,2.0,3,40.43
Electronic City,550.0,1.0,1.0,2,15.0
Whitefield,1140.0,2.0,2.0,2,39.0
Tumkur Road,1343.5,3.0,0.0,3,57.76
Banashankari Stage III,2000.0,4.0,0.0,4,100.0
Kaval Byrasandra,1100.0,2.0,1.0,2,46.0
Vignana Nagar,1200.0,2.0,2.0,2,55.0
Bannerghatta,1618.0,3.0,1.0,3,68.0
Whitefield,2830.0,5.0,2.0,4,160.0
Uttarahalli,1315.0,2.0,2.0,3,74.0
Anandapura,1141.0,2.0,1.0,2,42.75
AECS Layout,1080.0,2.0,2.0,2,55.0
HBR Layout,1200.0,2.0,2.0,2,60.0
Varthur,1111.0,2.0,2.0,2,41.88
NGR Layout,1022.0,2.0,1.0,2,45.9
Bannerghatta Road,1275.0,2.0,2.0,2,65.0
4th Block Jayanagar,900.0,2.0,1.0,2,70.0
Rachenahalli,1224.0,2.0,3.0,2,39.2
Battarahalli,1135.0,2.0,3.0,2,43.0
Rachenahalli,1050.0,2.0,2.0,2,52.1
Kudlu Gate,1535.0,3.0,2.0,3,86.0
Nagavarapalya,1392.0,2.0,1.0,2,130.0
Bellandur,1050.0,2.0,2.0,2,72.0
Hosa Road,1513.0,3.0,1.0,3,103.0
Gottigere,1621.0,3.0,3.0,3,72.0
Bannerghatta Road,892.0,2.0,1.0,2,39.0
Whitefield,1205.0,2.0,1.0,2,40.0
Hebbal,1355.0,3.0,2.0,3,83.87
Karnataka Shabarimala,1200.0,6.0,3.0,4,70.0
Indira Nagar,1400.0,2.0,2.0,2,168.0
Kengeri,726.0,2.0,1.0,2,35.0
Singena Agrahara,1500.0,3.0,2.0,3,149.0
Hebbal,3895.0,4.0,2.0,4,405.0
Horamavu Agara,1079.0,2.0,2.0,2,41.0
Begur Road,1170.0,2.0,2.0,2,46.0
Doddathoguru,1104.0,2.0,2.0,2,39.0
Kanakpura Road,950.0,2.0,1.0,2,45.0
Hormavu,4818.0,4.0,3.0,4,390.0
Canara Bank Colony,1650.0,2.0,1.0,3,52.0
Kogilu,1559.0,3.0,2.0,3,127.0
Hanumagiri,1100.0,2.0,1.0,2,38.0
Benson Town,1750.0,3.0,3.0,3,150.0
Ramagondanahalli,1215.0,2.0,1.0,2,45.5
Talaghattapura,1868.0,3.0,1.0,3,135.0
Electronic City,1130.0,2.0,1.0,2,32.63
Kanakpura Road,1570.0,3.0,3.0,3,64.5
Sarjapur  Road,1691.0,3.0,1.0,3,98.0
Ardendale,4355.0,3.0,1.0,5,350.0
Hulimavu,1225.0,2.0,2.0,2,55.0
JP Nagar,1690.0,3.0,2.0,3,112.0
Thigalarapalya,1418.0,2.0,2.0,2,103.0
Kasturi Nagar,1896.0,3.0,1.0,4,125.0
Sonnenahalli,605.0,1.0,1.0,1,40.0
Begur Road,800.0,5.0,2.0,5,95.0
Electronic City Phase II,900.0,2.0,2.0,2,32.5
Cholanayakanahalli,750.0,2.0,0.0,1,50.0
Hoodi,780.0,3.0,1.0,3,62.0
Ananth Nagar,908.0,2.0,1.0,2,26.0
Sarjapur  Road,3416.5,6.0,0.0,4,143.0
Thanisandra,3216.0,4.0,1.0,4,226.0
BEML Layout,2400.0,4.0,1.0,5,225.0
Iblur Village,1400.0,2.0,2.0,2,68.0
Kudlu,1092.0,2.0,2.0,2,44.0
Hulimavu,1255.0,2.0,2.0,2,74.0
Electronic City,1500.0,2.0,1.0,3,100.0
Thanisandra,1296.0,2.0,2.0,2,72.0
Horamavu Banaswadi,925.0,2.0,3.0,2,38.0
Raja Rajeshwari Nagar,1023.0,2.0,2.0,2,42.0
Seshadripuram,600.0,3.0,2.0,2,75.0
Thanisandra,1020.0,2.0,1.0,2,44.5
Choodasandra,1530.0,3.0,2.0,3,77.0
Gubbalala,1650.0,3.0,2.0,3,71.0
Vijaya Bank Layout,1605.0,2.0,3.0,3,85.0
Hosakerehalli,1925.0,2.0,1.0,2,50.0
Kogilu,1190.0,2.0,2.0,2,50.66
Jakkur,1374.0,3.0,2.0,3,68.0
6th Phase JP Nagar,1140.0,2.0,2.0,2,65.0
Green Glen Layout,1725.0,3.0,2.0,3,130.0
Bisuvanahalli,1075.0,2.0,1.0,3,50.0
Kannamangala,1574.0,3.0,1.0,3,93.34
Sanjay nagar,965.0,1.0,1.0,1,32.0
Marathahalli,1550.0,3.0,2.0,3,83.0
Akshayanagara West,1205.0,2.0,2.0,2,60.0
Kambipura,1082.0,2.0,1.0,3,55.0
Uttarahalli,1215.0,2.0,2.0,3,52.85
Hebbal,2483.0,5.0,2.0,4,230.0
Prasanth Extension,1200.0,3.0,1.0,2,46.14
Chikkathoguru,1500.0,1.0,1.0,1,19.5
1st Block Koramangala,2360.0,4.0,2.0,4,600.0
Kanakpura Road,1452.0,3.0,3.0,3,60.98
Electronic City Phase II,1329.0,2.0,2.0,3,41.0
Doctors Layout,1125.0,2.0,1.0,2,44.0
Anand nagar,1200.0,2.0,0.0,2,70.0
Sarjapur  Road,1350.0,3.0,3.0,3,39.97
Uttarahalli,1312.5,3.0,0.0,3,51.19
Hebbal,2600.0,3.0,2.0,3,195.0
West of Chord Road,1200.0,2.0,1.0,2,160.0
Electronic City Phase II,1220.0,3.0,1.0,3,35.23
Pai Layout,1255.0,2.0,1.0,2,80.0
Keshava Nagar,1904.0,3.0,3.0,3,155.0
Somasundara Palya,1329.0,2.0,2.0,2,70.0
Chandapura,1200.0,2.0,1.0,2,60.0
Murugeshpalya,2135.0,3.0,2.0,3,160.0
Ramakrishnappa Layout,2770.0,4.0,3.0,3,315.0
"Hoodi Circle, ",813.0,1.0,1.0,1,39.0
Junnasandra,3884.0,4.0,3.0,4,240.0
Doddaballapur,3876.0,3.0,1.0,3,300.0
Kalena Agrahara,800.0,2.0,2.0,2,30.0
Handenahalli,4750.0,2.0,1.0,4,120.0
Hormavu,1500.0,3.0,3.0,3,70.0
Bannerghatta Road,1880.0,3.0,2.0,3,95.0
Electronic City,1440.0,2.0,2.0,3,55.0
Banagiri Nagar,1630.0,2.0,2.0,3,97.78
Yelahanka,1180.0,3.0,1.0,3,55.0
Nagadevanahalli,1090.0,2.0,1.0,2,36.0
NGR Layout,1020.0,2.0,2.0,2,48.45
"Sarjapur Road, ",2425.0,4.0,3.0,4,173.0
Varthur,1097.0,2.0,1.0,2,33.82
Raja Rajeshwari Nagar,1070.0,2.0,1.0,2,50.0
Kumaraswami Layout,1000.0,2.0,1.0,2,58.0
manyata tech park,1150.0,2.0,1.0,2,56.0
Frazer Town,1900.0,4.0,2.0,3,145.0
Divya Unnathi Layout,1141.0,2.0,2.0,2,49.0
Jigani,937.0,2.0,1.0,2,44.0
Green Glen Layout,1075.0,2.0,1.0,2,60.0
Panathur,1000.0,2.0,1.0,2,65.3
Yelachenahalli,897.0,2.0,1.0,5,85.0
Ashwathnagar,936.0,2.0,2.0,2,43.0
Gopalkrishna Nagar,1280.0,2.0,1.0,2,75.0
Babusapalaya,1050.0,2.0,3.0,2,45.0
Marathahalli,1350.0,2.0,1.0,2,86.0
Mallasandra,1325.0,2.0,1.0,2,70.0
Devanahalli,1174.0,2.0,1.0,2,59.0
Hosur Road,1890.0,3.0,2.0,3,162.0
Wilson Garden,735.0,1.0,1.0,1,75.0
Sarvabhouma Nagar,500.0,1.0,0.0,1,24.0
Gottigere,1304.0,3.0,3.0,3,80.0
Yelahanka,1653.0,3.0,2.0,3,120.0
Bisuvanahalli,1075.0,2.0,1.0,3,52.0
7th Phase JP Nagar,1212.0,3.0,1.0,2,42.0
Hoysalanagar,1100.0,2.0,1.0,2,50.0
Rajaji Nagar,3436.0,6.0,3.0,4,500.0
SMV layout,1200.0,4.0,0.0,3,145.0
Billekahalli,1140.0,2.0,2.0,2,50.0
Roopena Agrahara,1200.0,2.0,1.0,2,100.0
Kudlu Gate,1532.0,3.0,2.0,3,83.0
Doddaballapur,2776.0,4.0,2.0,3,195.0
Padmanabhanagar,1531.0,2.0,0.0,3,75.0
Poorna Pragna Layout,1270.0,2.0,2.0,3,50.79
Uttarahalli,1325.0,2.0,1.0,2,53.0
CQAL LAYOUT C BLOCK,1200.0,3.0,1.0,3,160.0
Electronic City,1156.0,2.0,2.0,3,44.0
R.T. Nagar,2000.0,4.0,2.0,4,320.0
Bannerghatta Road,1260.0,2.0,2.0,2,70.0
Vittasandra,1934.0,2.0,0.0,2,90.0
Malleshpalya,1060.0,2.0,1.0,2,40.0
Kasavanhalli,1476.0,3.0,1.0,3,95.0
Murugeshpalya,1185.0,2.0,1.0,2,85.0
Channasandra Layout,1265.0,2.0,1.0,3,82.0
"Near Electronic City, ",3200.0,5.0,1.0,4,150.0
Virat Nagar,1196.0,2.0,2.0,2,56.81
EPIP Zone,1280.0,2.0,1.0,2,69.0
Marathahalli,800.0,4.0,2.0,4,86.0
Kacharakanahalli,1850.0,3.0,3.0,3,98.0
Indira Nagar,2400.0,4.0,2.0,4,525.0
Whitefield,1195.0,2.0,1.0,2,70.0
Ulsoor,2000.0,3.0,3.0,3,185.0
Veerannapalya,600.0,4.0,0.0,7,100.0
Hebbal Kempapura,800.0,5.0,3.0,4,155.0
Hosur Road,1180.0,2.0,2.0,2,36.5
Jakkur,1050.0,2.0,1.0,2,49.87
Electronic City,1400.0,2.0,1.0,3,40.44
Bagalakunte,2360.0,4.0,2.0,4,150.0
Banashankari stage 2,1030.0,2.0,1.0,2,77.25
Doddanakundi Industrial Area 2,1512.0,1.0,2.0,2,65.01
Subramanyapura,929.0,2.0,1.0,2,48.0
Jigani,1252.0,3.0,3.0,3,61.0
Green Glen Layout,1485.0,3.0,2.0,3,115.0
Electronics City Phase 1,1124.0,2.0,2.0,3,55.0
TC Palaya,2400.0,6.0,3.0,6,370.0
Indira Nagar,1407.0,3.0,1.0,3,120.0
Hennur Road,1482.0,2.0,3.0,3,97.0
Sector 7 HSR Layout,1163.0,2.0,1.0,2,98.86
Jalahalli,1570.0,3.0,2.0,3,140.0
Chandapura,520.0,1.0,1.0,1,14.04
OLd Gurappanapalya,2000.0,3.0,2.0,3,160.0
Prithvi Layout,1352.0,2.0,2.0,2,75.0
Electronic City,1152.0,2.0,1.0,2,65.0
"ECC Road, Whitefield, ",1575.0,3.0,2.0,3,93.0
Hegde Nagar,1965.0,4.0,2.0,3,125.0
Ramanjaneyanagar,1300.0,2.0,2.0,3,70.0
Marathahalli,957.0,2.0,1.0,2,47.0
Hoskote,1740.0,3.0,3.0,3,60.0
Kanakpura Road,1080.0,6.0,3.0,5,65.0
Neeladri Nagar,1060.0,2.0,0.0,2,35.0
Chikkadunnasandra,975.0,2.0,2.0,2,50.0
Ramamurthy Nagar,1150.0,2.0,2.0,2,51.0
Whitefield,1738.0,2.0,3.0,3,79.0
Bommanahalli,1250.0,3.0,2.0,3,55.0
Bannerghatta Road,1788.0,3.0,2.0,3,90.0
Kanakapura,1151.0,2.0,1.0,2,59.0
Uttarahalli,1300.0,2.0,2.0,3,60.0
Garudachar Palya,1150.0,2.0,1.0,2,52.8
Akshya Nagar,1380.0,2.0,1.0,2,75.0
Hebbal,1645.0,3.0,2.0,3,117.0
Babusapalaya,1141.0,2.0,1.0,2,45.9
7th Phase JP Nagar,1175.0,2.0,2.0,2,82.5
Banashankari Stage V,1355.0,2.0,1.0,3,61.0
Dasarahalli,1150.0,2.0,0.0,2,70.0
Canara Bank Colony,1000.0,2.0,2.0,2,45.0
Balagere,1007.0,2.0,1.0,2,65.0
Wajid layout thanisandra,3000.0,5.0,2.0,4,100.0
Kothanur,1436.0,3.0,3.0,3,70.0
Marathahalli,4000.0,4.0,3.0,4,220.0
Rajaji Nagar,1200.0,2.0,0.0,2,150.0
Rayasandra,1016.0,2.0,1.0,2,58.0
Dodda Nekkundi,1100.0,2.0,2.0,2,48.0
B Channasandra,1080.0,2.0,1.0,2,45.0
Electronic City,1070.0,2.0,1.0,2,60.0
Kadubeesanahalli,1532.0,3.0,1.0,3,115.0
Hennur,1040.0,2.0,2.0,2,42.12
Laxmi Sagar Layout,3100.0,3.0,3.0,3,250.0
Tumkur Road,1137.5,2.0,0.0,2,48.905
Thanisandra,1430.0,2.0,2.0,3,51.6
Rajaji Nagar,1160.0,1.0,0.0,2,163.0
ITPL,3262.0,5.0,2.0,4,205.0
Achins Road,2100.0,7.0,0.0,7,410.0
Uvce Layout,1190.0,2.0,2.0,2,100.0
Panduranga Nagar,1827.0,3.0,3.0,3,100.0
HRBR Layout,1210.0,2.0,1.0,2,75.0
New Thippasandra,1500.0,3.0,3.0,3,95.0
Rachenahalli,1050.0,2.0,2.0,2,53.5
Hebbal,1251.0,2.0,1.0,2,88.73
HSR Layout,1600.0,2.0,2.0,3,115.0
Electronic City,1128.0,2.0,1.0,2,65.5
Budigere,1820.0,3.0,2.0,3,93.0
Thigalarapalya,2072.0,4.0,2.0,3,159.0
Raja Rajeshwari Nagar,1510.0,2.0,3.0,3,59.0
Hoodi,1925.0,2.0,3.0,3,114.0
Hennur Road,2651.0,2.0,2.0,3,225.0
Thigalarapalya,2072.0,4.0,2.0,3,147.0
Kumaraswami Layout,1000.0,2.0,2.0,2,36.0
KR Puram,1752.0,3.0,2.0,3,145.0
Sahakara Nagar,960.0,2.0,3.0,2,56.0
Gattigere,1180.0,2.0,2.0,2,63.0
Benson Town,2270.0,3.0,1.0,3,180.0
NRI Layout,650.0,2.0,0.0,2,59.0
Lakshminarayana Pura,1200.0,2.0,1.0,2,75.0
Bisuvanahalli,1180.0,2.0,1.0,3,46.0
Roopena Agrahara,1300.0,3.0,2.0,3,47.0
Bannerghatta Road,1157.0,2.0,0.0,2,40.0
Kanakpura Road,1300.0,3.0,2.0,3,69.0
Banashankari Stage III,1305.0,2.0,1.0,3,59.0
Hegde Nagar,2006.0,4.0,2.0,3,196.0
Jakkur,1290.0,2.0,1.0,2,80.0
Hoskote,1170.0,2.0,3.0,2,45.0
Cottonpet,971.0,2.0,2.0,4,135.0
Yelachenahalli,1400.0,2.0,3.0,2,78.0
Lakshminarayana Pura,1200.0,2.0,2.0,2,75.0
Kamakshipalya,1155.0,2.0,0.0,3,60.0
Hormavu,1725.0,3.0,2.0,3,85.0
Kanakpura Road,700.0,2.0,1.0,2,40.0
Hoodi,1112.0,2.0,1.0,2,88.0
Badavala Nagar,1274.0,2.0,1.0,2,81.0
Doddathoguru,915.0,2.0,1.0,2,32.0
6th Phase JP Nagar,1650.0,6.0,2.0,8,135.0
Hosur Road,760.0,1.0,2.0,1,21.28
Maragondanahalli,1540.0,3.0,2.0,3,68.0
P&T Layout,1206.0,2.0,3.0,2,38.5
Basavanna Nagar,1645.0,3.0,2.0,3,95.0
Canara Bank Layout,1200.0,4.0,2.0,4,170.0
singapura paradise,1200.0,4.0,1.0,4,140.0
Nehru Nagar,2342.0,3.0,2.0,4,115.0
Kannur,1200.0,2.0,1.0,3,55.0
Yelenahalli,1056.0,2.0,2.0,2,33.0
Kanakpura Road,1450.0,3.0,3.0,3,54.3
Thirumenahalli,1161.0,2.0,2.0,2,36.69
Dollars Colony,1097.0,2.0,3.0,2,65.0
Uttarahalli,850.0,2.0,2.0,2,35.0
Green Glen Layout,1715.0,3.0,2.0,3,115.0
Electronic City,1200.0,2.0,1.0,2,59.0
8th Phase JP Nagar,1080.0,2.0,2.0,2,38.0
Kasavanhalli,1200.0,2.0,1.0,2,50.3
4th Block Koramangala,2400.0,4.0,0.0,4,550.0
Banashankari,1400.0,2.0,1.0,3,78.0
Whitefield,1500.0,4.0,3.0,4,200.0
Kanakpura Road,458.0,1.0,0.0,1,19.695
Marathahalli,1230.0,2.0,1.0,2,57.0
Kalyan nagar,1640.0,3.0,3.0,3,88.0
Banashankari,1700.0,3.0,2.0,3,125.0
Banashankari,1020.0,2.0,2.0,2,40.79
Nagarbhavi,1200.0,2.0,1.0,2,150.0
Yelahanka,1275.0,2.0,2.0,3,95.0
Cambridge Layout,1600.0,3.0,1.0,4,165.0
Kanakapura,1110.0,2.0,2.0,2,38.85
Uttarahalli,1627.86,3.0,2.0,3,88.0
Byagadadhenahalli,620.0,2.0,1.0,2,22.0
Whitefield,3004.0,4.0,2.0,4,285.0
Hosa Road,1133.0,2.0,1.0,2,52.0
Hennur Road,1182.0,2.0,2.0,2,82.5
Tumkur Road,1500.0,3.0,3.0,3,100.0
Marathahalli,1200.0,2.0,2.0,2,58.0
Raja Rajeshwari Nagar,1128.0,2.0,1.0,2,48.79
Jayanagar,900.0,2.0,2.0,2,110.0
Amruthahalli,1100.0,2.0,1.0,2,45.0
Kengeri Satellite Town,635.0,1.0,1.0,2,22.0
Thanisandra,1874.0,4.0,1.0,3,130.0
Vidyaranyapura,600.0,3.0,2.0,4,78.0
Old Madras Road,1171.0,2.0,2.0,2,75.0
Sarjapur,2020.0,3.0,3.0,3,85.0
8th Phase JP Nagar,1059.0,2.0,2.0,2,34.5
Panathur,1315.0,2.0,1.0,3,59.1
Jakkur,1760.0,3.0,2.0,3,110.0
Sampangi Rama Nagar,1200.0,2.0,1.0,2,125.0
Hennur Road,1192.0,2.0,1.0,3,62.0
Hebbal,1645.0,3.0,2.0,3,121.0
Whitefield,1250.0,2.0,2.0,2,72.0
Whitefield,709.0,1.0,0.0,1,34.385
Whitefield,1340.0,2.0,1.0,2,77.0
Cooke Town,2388.0,4.0,3.0,3,239.0
Hosa Road,1369.1,2.0,1.0,2,104.0
Jalahalli West,1355.0,2.0,3.0,2,75.0
Bannerghatta Road,1150.0,2.0,2.0,2,65.0
Kanakapura,1938.0,3.0,3.0,3,113.0
Begur Road,2462.0,4.0,3.0,4,124.0
Budigere,1636.0,3.0,2.0,3,85.0
Akshaya Nagar,1430.0,2.0,2.0,3,75.0
BEML Layout 5th stage,2000.0,3.0,2.0,3,85.0
Electronic City Phase II,993.0,2.0,2.0,3,50.0
Laggere,1260.0,4.0,1.0,4,150.0
Kanakpura Road,1700.0,3.0,3.0,3,88.0
Yelahanka,1270.0,2.0,2.0,2,78.0
Anjanapura,1500.0,3.0,1.0,3,121.0
Koramangala,2300.0,3.0,3.0,3,290.0
Hunasamaranahalli,7500.0,4.0,2.0,4,900.0
Marathahalli,1650.0,3.0,3.0,3,86.45
Panathur,1109.0,2.0,1.0,2,63.0
Pragathi Nagar,1280.0,2.0,1.0,2,49.75
Sarjapur,2885.0,3.0,1.0,4,185.0
Banashankari,1200.0,9.0,1.0,9,145.0
Devanahalli,1600.0,3.0,2.0,3,180.0
Kothanur,1462.0,3.0,3.0,3,71.0
Marathahalli,607.0,1.0,1.0,1,35.0
Kammasandra,930.0,2.0,0.0,2,25.0
Varthur,4500.0,5.0,2.0,4,300.0
Malleshwaram,2600.0,3.0,1.0,3,237.0
JP Nagar,3000.0,4.0,2.0,4,140.0
Electronic City Phase II,1418.0,3.0,2.0,3,52.47
Ramesh Nagar,4200.0,1.0,2.0,2,160.0
EPIP Zone,1125.0,2.0,1.0,2,65.0
CV Raman Nagar,1825.0,3.0,2.0,3,126.0
Whitefield,1320.0,2.0,3.0,2,79.5
JP Nagar,3000.0,4.0,2.0,4,140.0
HAL 2nd Stage,1490.0,2.0,2.0,3,300.0
8th block Koramangala,1650.0,3.0,1.0,4,300.0
Whitefield,750.0,2.0,1.0,2,52.7
Yelahanka,1400.0,2.0,2.0,3,80.54
Sathya Sai Layout,4104.0,4.0,3.0,4,360.0
Rajaji Nagar,5000.0,4.0,0.0,4,375.0
Mahadevpura,3295.0,4.0,2.0,5,260.0
A Narayanapura,1150.0,3.0,1.0,4,110.0
Whitefield,1200.0,3.0,1.0,3,61.96
Poorna Pragna Layout,965.0,2.0,2.0,2,48.0
Gottigere,812.0,1.0,1.0,1,26.0
KR Puram,1100.0,2.0,2.0,2,43.0
Whitefield,1180.0,2.0,2.0,2,41.0
HSR Layout,1145.0,2.0,2.0,2,48.0
Haralur Road,1027.0,2.0,1.0,2,44.0
Silk Board,1215.0,2.0,2.0,2,49.85
Hegde Nagar,1200.0,2.0,0.0,2,75.0
Kenchenahalli,1015.0,2.0,2.0,2,58.0
Kaggalipura,2400.0,3.0,1.0,3,165.0
Whitefield,3000.0,4.0,3.0,4,306.0
7th Phase JP Nagar,3300.0,4.0,3.0,3,160.0
Puttanahalli,1076.0,2.0,2.0,2,52.0
JP Nagar,1300.0,2.0,1.0,2,109.0
Hebbal Kempapura,1300.0,2.0,2.0,2,102.0
Hosa Road,1512.0,3.0,1.0,3,123.0
Bhoganhalli,1053.4,3.0,1.0,3,88.91
Yeshwanthpur,605.0,1.0,0.0,1,41.745
Hormavu,1153.0,2.0,1.0,2,65.0
Virat Nagar,2080.0,2.0,1.0,2,150.0
Hulimavu,1255.0,2.0,2.0,2,69.0
Marathahalli,1583.0,3.0,3.0,3,109.0
Kundalahalli Colony,1505.0,2.0,2.0,2,90.0
Kathriguppe,1365.0,2.0,2.0,3,75.08
